Country,Food,Biodiversity,Emissions,Democracy,Education,Energy Consum,GDP,Happiness,Health Expend,High Tech Exports,Homicide Rates,Journal Articles Published,Population Density,Military Expenditure,Economic Freedom,Research Expenditure,Suicide Rate,Undernourishment,Women Empowerment
Afghanistan,3446216.911387,3.4071550256,0.19,2.77,4.8043498993,4.1,1934.1936343287,3.36,161.21700727,NA,6.6,26.5,88.2855849646,1,NA,NA,4.1,26.8,NA
Albania,1232257.772909,0.1845542306,0.45,5.91,3.5380001068,36,11305.4174218566,4.655,539.2819736,0.1203479817,4,183.6,64.0343065693,1.1,35,NA,6.1,NA,NA
Algeria,8282544.767904,2.8534923339,0.95,3.95,NA,55,14687.39020786,6.355,778.08416391,0.1541424417,1.5,3652.5,25.6365329549,6.2,25,NA,4.1,5,0.205
Angola,4488308.394051,8.262350937,0.4,3.35,NA,16,7371.0276562447,3.866,355.43238875,NA,9.8,22.6,111.2838325178,3.5,15,NA,8.4,14.2,0.251
Antigua and Barbuda,7564.244972,0.7098239637,1.61,NA,NA,116,22967.6920024722,NA,1020.9151194,0,11.2,1.9,257.9977272727,NA,NA,NA,0.6,NA,NA
Argentina,42851219.947818,17.7172061329,1.25,7.02,5.3440999985,88,NA,6.65,1724.620655,6.6757354618,7.6,8053.1,21.4026656289,1.2,15,0.6130300164,9.1,5,0.347
Armenia,1092553.869502,0.2271436684,0.52,4,2.2404999733,75,8393.5117858068,4.36,351.38259238,2.7003321867,2.2,558.5,62.992342817,4.5,20,0.2407899946,3.4,5.8,0.068
Australia,27019785.673655,87.6916524702,4.47,9.01,5.2706599236,283,45514.1758297674,7.313,4191.0905894,13.5987282005,1,47805.7,5.5177893339,1.9,90,2.1957499981,7.8,NA,0.193
Austria,4225714.884988,0.3265190233,2.01,8.54,5.5648398399,179,47824.1877781361,7.119,4884.6183098,13.8805613897,0.5,12031.3,101.1370238688,0.7,90,2.9860899448,11.8,NA,0.246
Azerbaijan,2637668.364185,0.7950028393,1.04,2.71,2.4621798992,58,17739.9547360618,5.291,956.6463065,7.0024690957,2.5,481.8,116.5763386484,4.6,20,0.2099100053,5.1,5,0.063
Bahamas,36252.111373,3.5633162976,1.4,NA,NA,151,23795.4382953871,NA,1688.2050312,0,29.8,15.8,49.7256743257,NA,70,NA,0.7,NA,0.11
Bahrain,44230.060809,0.0283929585,5.95,2.79,2.6447000504,451,46946.3351892261,6.218,1900.2125759,1.4927442224,NA,209.7,2108.1105263158,4.6,60,0.0997700021,7.8,NA,0.037
Bangladesh,22278589.926285,1.4480408859,0.12,5.73,1.9661699533,6.4,3332.8034451699,4.643,95.3267369,NA,2.8,1970.6,1302.4579165706,1.3,20,NA,13.5,16.4,0.433
Barbados,47423.554843,0.3691084611,1.43,NA,6.7117900848,67,16390.8649228605,NA,1060.2268381,16.4432838113,8.8,39.1,602.0627906977,NA,80,NA,1.4,5,0.15
Belarus,5767155.42334,0.0283929585,1.82,3.62,4.9875102043,123,17660.9465857183,5.802,1081.3870552,3.9290165837,3.6,1000.6,34.0847666453,1.2,20,0.6735799909,22.9,NA,0.146
